NÚMERO DE ANEXO,CLAVE DE ACUÍFERO,VOLUMEN ANUAL EN m3,FECHA
2968,101,73000.0,2022-05-22
2969,102,60000.0,2022-05-22
2970,102,30000.0,2022-05-22
2971,102,72000.0,2022-05-22
2972,101,30000.0,2022-05-22
2973,101,277000.0,2022-05-22
2974,101,9889.46,2022-05-22
2975,101,200000.0,2022-05-22
2976,101,20000.0,2022-05-22
2977,101,165000.0,2022-05-22
2978,101,155000.0,2022-05-22
2979,101,87000.0,2022-05-22
2980,102,24000.0,2022-05-22
2981,101,10000.0,2022-05-22
2982,102,6000.0,2022-05-22
2983,101,162000.0,2022-05-22
2984,101,120000.0,2022-05-22
2985,101,245430.0,2022-05-22
2986,101,180000.0,2022-05-22
2987,101,120000.0,2022-05-22
2988,101,86400.0,2022-05-22
2989,101,144000.0,2022-05-22
2990,101,19200.0,2022-05-22
2991,101,194000.0,2022-05-22
2992,101,120000.0,2022-05-22
2993,102,100000.0,2022-05-22
2994,105,240000.0,2022-05-22
2995,101,220000.0,2022-05-22
2996,102,192000.0,2022-05-22
2997,101,120000.0,2022-05-22
2998,101,30836.5,2022-05-22
2999,101,130000.0,2022-05-22
3000,102,10000.0,2022-05-22
3001,102,6000.0,2022-05-22
3002,102,9000.0,2022-05-22
3003,102,120000.0,2022-05-22
3004,101,150000.0,2022-05-22
3005,101,150000.0,2022-05-22
3006,101,50000.0,2022-05-22
3007,101,20000.0,2022-05-22
3008,101,100000.0,2022-05-22
3009,101,170000.0,2022-05-22
3010,101,23000.0,2022-05-22
3011,101,35000.0,2022-05-22
3012,101,40000.0,2022-05-22
3013,101,150000.0,2022-05-22
3014,101,46000.0,2022-05-22
3015,101,20000.0,2022-05-22
3016,101,232000.0,2022-05-22
3017,101,72000.0,2022-05-22
3018,101,320000.0,2022-05-22
3019,101,133056.0,2022-05-22
3020,101,36000.0,2022-05-22
3021,101,70350.0,2022-05-22
3022,103,48412.5,2022-05-22
3023,101,40000.0,2022-05-22
3024,101,20000.0,2022-05-22
3025,101,86767.8,2022-05-22
3026,101,127148.0,2022-05-22
3027,101,21084.0,2022-05-22
3028,101,40000.0,2022-05-22
3029,101,30000.0,2022-05-22
3030,101,20000.0,2022-05-22
3031,101,50000.0,2022-05-22
3032,101,357696.0,2022-05-22
3033,101,100000.0,2022-05-22
3034,101,12000.0,2022-05-22
3035,102,192000.0,2022-05-22
3036,102,30000.0,2022-05-22
3037,101,115200.0,2022-05-22
3038,101,240000.0,2022-05-22
3039,102,13000.0,2022-05-22
3040,101,35320.05,2022-05-22
3041,101,341427.1,2022-05-22
3042,101,70000.0,2022-05-22
3043,101,30000.0,2022-05-22
3044,102,12000.0,2022-05-22
3045,101,144000.0,2022-05-22
3046,101,166000.0,2022-05-22
3047,101,50000.0,2022-05-22
3048,101,10000.0,2022-05-22
3049,102,50000.0,2022-05-22
3050,102,30000.0,2022-05-22
3051,101,2500.0,2022-05-22
3052,101,50000.0,2022-05-22
3053,101,47000.0,2022-05-22
3054,101,240000.0,2022-05-22
3055,101,296118.0,2022-05-22
3056,101,46200.0,2022-05-22
3057,101,100000.0,2022-05-22
3058,101,95000.0,2022-05-22
3059,102,35000.0,2022-05-22
3060,102,35000.0,2022-05-22
3061,101,150000.0,2022-05-22
3062,101,38000.0,2022-05-22
3063,101,66000.0,2022-05-22
3064,101,58000.0,2022-05-22
3065,101,80000.0,2022-05-22
3066,101,10000.0,2022-05-22
3067,101,30000.0,2022-05-22
3068,207,48000.0,2022-05-22
3069,218,20000.0,2022-05-22
3070,207,3500.0,2022-05-22
3071,207,115000.0,2022-05-22
3072,207,120000.0,2022-05-22
3073,207,60000.0,2022-05-22
3074,202,630.0,2022-05-22
3075,207,1000.0,2022-05-22
3076,217,240000.0,2022-05-22
3077,207,24000.0,2022-05-22
3078,215,30000.0,2022-05-22
3079,205,9045.0,2022-05-22
3080,220,48000.0,2022-05-22
3081,206,12348.0,2022-05-22
3082,218,12165.0,2022-05-22
3083,224,1020.0,2022-05-22
3084,220,390000.0,2022-05-22
3085,220,390000.0,2022-05-22
3086,235,121900.0,2022-05-22
3087,234,1825.0,2022-05-22
3088,214,18000.0,2022-05-22
3089,212,120000.0,2022-05-22
3090,214,910.0,2022-05-22
3091,214,10390.0,2022-05-22
3092,207,18000.0,2022-05-22
3093,214,30220.0,2022-05-22
3094,207,63640.0,2022-05-22
3095,218,300440.0,2022-05-22
3096,228,804.0,2022-05-22
3097,212,96000.0,2022-05-22
3098,220,53185.0,2022-05-22
3099,224,18000.0,2022-05-22
3100,214,34038.0,2022-05-22
3101,212,2518.0,2022-05-22
3102,230,120765.0,2022-05-22
3103,202,3285.0,2022-05-22
3104,202,3285.0,2022-05-22
3105,212,50000.0,2022-05-22
3106,214,24055.0,2022-05-22
3107,235,120430.0,2022-05-22
3108,230,25205.0,2022-05-22
3109,206,24000.0,2022-05-22
3110,209,65455.0,2022-05-22
3111,246,65416.0,2022-05-22
3112,246,409812.0,2022-05-22
3113,246,519480.0,2022-05-22
3114,205,31536.0,2022-05-22
3115,205,3410.0,2022-05-22
3116,217,14400.0,2022-05-22
3117,207,1800.0,2022-05-22
3118,221,10000.0,2022-05-22
3119,212,15000.0,2022-05-22
3120,202,12865.0,2022-05-22
3121,202,90000.0,2022-05-22
3122,245,100000.0,2022-05-22
3123,215,275.0,2022-05-22
3124,209,20000.0,2022-05-22
3125,202,6000.0,2022-05-22
3126,206,575.0,2022-05-22
3127,218,300385.0,2022-05-22
3128,217,18550.0,2022-05-22
3129,224,550.0,2022-05-22
3130,207,6275.0,2022-05-22
3131,210,120000.0,2022-05-22
3132,202,30275.0,2022-05-22
3133,214,9365.0,2022-05-22
3134,217,2000.0,2022-05-22
3135,212,60000.0,2022-05-22
3136,217,120000.0,2022-05-22
3137,221,80000.0,2022-05-22
3138,214,84000.0,2022-05-22
3139,214,6000.0,2022-05-22
3140,217,12000.0,2022-05-22
3141,246,90000.0,2022-05-22
3142,203,3900.0,2022-05-22
3143,202,30165.0,2022-05-22
3144,217,34260.0,2022-05-22
3145,213,60000.0,2022-05-22
3146,202,60000.0,2022-05-22
3147,202,60000.0,2022-05-22
3148,202,32993.0,2022-05-22
3149,220,60000.0,2022-05-22
3150,206,6000.0,2022-05-22
3151,206,12000.0,2022-05-22
3152,206,6000.0,2022-05-22
3153,205,30000.0,2022-05-22
3154,218,10000.0,2022-05-22
3155,211,640.0,2022-05-22
3156,217,900000.0,2022-05-22
3157,246,58412.0,2022-05-22
3158,246,144889.0,2022-05-22
3159,207,275.0,2022-05-22
3160,202,1280.0,2022-05-22
3161,202,18715.0,2022-05-22
3162,202,9455.0,2022-05-22
3163,202,9000.0,2022-05-22
3164,209,12720.0,2022-05-22
3165,207,5100.0,2022-05-22
3166,212,113940.0,2022-05-22
3167,207,60000.0,2022-05-22
3168,323,14000.0,2022-05-22
3169,306,250400.0,2022-05-22
3170,302,95000.0,2022-05-22
3171,306,250400.0,2022-05-22
3172,316,1500.0,2022-05-22
3173,324,143616.0,2022-05-22
3174,306,250400.0,2022-05-22
3175,323,12000.0,2022-05-22
3176,306,250400.0,2022-05-22
3177,302,150000.0,2022-05-22
3178,306,5400.0,2022-05-22
3179,306,131400.0,2022-05-22
3180,306,250400.0,2022-05-22
3181,306,50000.0,2022-05-22
3182,306,250400.0,2022-05-22
3183,319,3000.0,2022-05-22
3184,306,250400.0,2022-05-22
3185,306,3000.0,2022-05-22
3186,306,3000.0,2022-05-22
3187,312,60000.0,2022-05-22
3188,306,250400.0,2022-05-22
3189,306,250400.0,2022-05-22
3190,327,3000.0,2022-05-22
3191,319,5800.0,2022-05-22
3192,324,3000.0,2022-05-22
3193,320,3000.0,2022-05-22
3194,306,300.0,2022-05-22
3195,329,11000.0,2022-05-22
3196,314,3000.0,2022-05-22
3197,306,100000.0,2022-05-22
3198,306,1150.0,2022-05-22
3199,324,3000.0,2022-05-22
3200,306,17200.0,2022-05-22
3201,306,700.0,2022-05-22
3202,306,3000.0,2022-05-22
3203,319,182.5,2022-05-22
3204,324,151200.0,2022-05-22
3205,306,3000.0,2022-05-22
3206,306,2495.0,2022-05-22
3207,306,3000.0,2022-05-22
3208,302,2500.0,2022-05-22
3209,319,985.5,2022-05-22
3210,306,4827.0,2022-05-22
3211,301,3065.0,2022-05-22
3212,301,1990.0,2022-05-22
3213,306,3000.0,2022-05-22
3214,302,200000.0,2022-05-22
3215,322,2400.0,2022-05-22
3216,306,1149.0,2022-05-22
3217,306,712.0,2022-05-22
3218,309,1500.0,2022-05-22
3219,319,6800.0,2022-05-22
3220,302,50000.0,2022-05-22
3221,302,100000.0,2022-05-22
3222,306,3000.0,2022-05-22
3223,302,12000.0,2022-05-22
3224,319,1000.0,2022-05-22
3225,319,1000.0,2022-05-22
3226,306,250400.0,2022-05-22
3227,324,2000.0,2022-05-22
3228,302,3000.0,2022-05-22
3229,306,250400.0,2022-05-22
3230,319,1000.0,2022-05-22
3231,319,1000.0,2022-05-22
3232,319,1000.0,2022-05-22
3233,306,1000.0,2022-05-22
3234,308,400.0,2022-05-22
3235,306,1825.0,2022-05-22
3236,306,250400.0,2022-05-22
3237,322,3800.0,2022-05-22
3238,306,250400.0,2022-05-22
3239,312,511.0,2022-05-22
3240,306,3000.0,2022-05-22
3241,306,250400.0,2022-05-22
3242,333,100000.0,2022-05-22
3243,320,1544163.0,2022-05-22
3244,306,50400.0,2022-05-22
3245,306,250400.0,2022-05-22
3246,306,250400.0,2022-05-22
3247,306,200000.0,2022-05-22
3248,306,3000.0,2022-05-22
3249,306,100000.0,2022-05-22
3250,319,40000.0,2022-05-22
3251,331,2100.0,2022-05-22
3252,306,1200.0,2022-05-22
3253,323,1500.0,2022-05-22
3254,323,3000.0,2022-05-22
3255,323,3000.0,2022-05-22
3256,323,3000.0,2022-05-22
3257,323,3000.0,2022-05-22
3258,323,3000.0,2022-05-22
3259,323,3000.0,2022-05-22
3260,323,3000.0,2022-05-22
3261,323,3000.0,2022-05-22
3262,323,3000.0,2022-05-22
3263,323,3000.0,2022-05-22
3264,323,3000.0,2022-05-22
3265,323,3000.0,2022-05-22
3266,323,3000.0,2022-05-22
3267,323,3000.0,2022-05-22
3268,3105,1180.47,2022-05-22
3269,3105,53564.0,2022-05-22
3270,3105,24641.25,2022-05-22
3271,3105,7800.0,2022-05-22
3272,3105,874222.0,2022-05-22
3273,3105,14291.5,2022-05-22
3274,3105,320059.6,2022-05-22
3275,3105,8742.0,2022-05-22
3276,3105,26641.9,2022-05-22
3277,3105,87243.0,2022-05-22
3278,3105,44805.0,2022-05-22
3279,3105,505032.0,2022-05-22
3280,3105,365.0,2022-05-22
3281,3105,11486.5,2022-05-22
3282,3105,21225.25,2022-05-22
3283,3105,740898.0,2022-05-22
3284,3105,26227.0,2022-05-22
3285,3105,12213.75,2022-05-22
3286,3105,34996.0,2022-05-22
3287,3105,80863.2,2022-05-22
3288,3105,238200.0,2022-05-22
3289,3105,7145.0,2022-05-22
3290,3105,349968.0,2022-05-22
3291,3105,6181.5,2022-05-22
3292,3105,54435.5,2022-05-22
3293,3105,114255.5,2022-05-22
3294,3105,57715.5,2022-05-22
3295,3105,90159.5,2022-05-22
3296,3105,90512.0,2022-05-22
3297,3105,138151.0,2022-05-22
3298,3105,181958.0,2022-05-22
3299,3105,92965.0,2022-05-22
3300,3105,378643.5,2022-05-22
3301,3105,71578.0,2022-05-22
3302,3105,17498.0,2022-05-22
3303,3105,87420.0,2022-05-22
3304,3105,273.75,2022-05-22
3305,3105,132772.5,2022-05-22
3306,3105,35516.6,2022-05-22
3307,3105,81530.0,2022-05-22
3308,3105,55190.5,2022-05-22
3309,3105,34968.0,2022-05-22
3310,3105,19947.75,2022-05-22
3311,3105,72000.0,2022-05-22
3312,3105,1095.0,2022-05-22
3313,3105,2737.5,2022-05-22
3314,3105,177556.25,2022-05-22
3315,3105,114741.0,2022-05-22
3316,3105,16492.0,2022-05-22
3317,3105,56301.5,2022-05-22
3318,3105,32203.52,2022-05-22
3319,3105,74212.92,2022-05-22
3320,3105,587432.0,2022-05-22
3321,3105,10479.65,2022-05-22
3322,3105,1277.5,2022-05-22
3323,3105,12034.0,2022-05-22
3324,3105,8241.75,2022-05-22
3325,3105,43711.0,2022-05-22
3326,3105,34969.0,2022-05-22
3327,3105,1642.5,2022-05-22
3328,3105,43710.0,2022-05-22
3329,3105,28717.5,2022-05-22
3330,3105,412727.0,2022-05-22
3331,3105,412727.0,2022-05-22
3332,3105,349680.0,2022-05-22
3333,405,28613.5,2022-05-22
3334,3105,158017.0,2022-05-22
3335,3105,175935.0,2022-05-22
3336,3105,1971.0,2022-05-22
3337,3105,1095.0,2022-05-22
3338,3105,28012.0,2022-05-22
3339,3105,1642.5,2022-05-22
3340,3105,36336.0,2022-05-22
3341,3105,27204.0,2022-05-22
3342,3105,633014.76,2022-05-22
3343,3105,181025.0,2022-05-22
3344,3105,19674.0,2022-05-22
3345,3105,147182.0,2022-05-22
3346,3105,764945.19,2022-05-22
3347,3105,732757.05,2022-05-22
3348,3105,764369.76,2022-05-22
3349,3105,8749.0,2022-05-22
3350,3105,28584.0,2022-05-22
3351,3105,240000.0,2022-05-22
3352,3105,1642.5,2022-05-22
3353,3105,61194.0,2022-05-22
3354,3105,20112.0,2022-05-22
3355,3105,27594.75,2022-05-22
3356,3105,83325.85,2022-05-22
3357,3105,1478.25,2022-05-22
3358,3105,37432.75,2022-05-22
3359,3105,350419.0,2022-05-22
3360,3105,1642.5,2022-05-22
3361,3105,1642.5,2022-05-22
3362,3105,111378.0,2022-05-22
3363,3105,533152.5,2022-05-22
3364,3105,21913.0,2022-05-22
3365,3105,1174.5,2022-05-22
3366,3105,821.25,2022-05-22
3367,3105,186228.25,2022-05-22
3368,510,5000.0,2022-05-22
3369,511,238000.0,2022-05-22
3370,511,200000.0,2022-05-22
3371,505,90000.0,2022-05-22
3372,505,36000.0,2022-05-22
3373,523,390000.0,2022-05-22
3374,523,41750.0,2022-05-22
3375,523,31643.0,2022-05-22
3376,510,25000.0,2022-05-22
3377,507,12000.0,2022-05-22
3378,523,300000.0,2022-05-22
3379,523,240000.0,2022-05-22
3380,523,660000.0,2022-05-22
3381,523,240000.0,2022-05-22
3382,523,180000.0,2022-05-22
3383,509,5040.0,2022-05-22
3384,505,65772.0,2022-05-22
3385,505,65772.0,2022-05-22
3386,523,210000.0,2022-05-22
3387,523,15000.0,2022-05-22
3388,523,240000.0,2022-05-22
3389,523,300000.0,2022-05-22
3390,523,192000.0,2022-05-22
3391,523,300000.0,2022-05-22
3392,523,300000.0,2022-05-22
3393,523,210000.0,2022-05-22
3394,523,180000.0,2022-05-22
3395,523,180000.0,2022-05-22
3396,524,144000.0,2022-05-22
3397,509,83575.0,2022-05-22
3398,509,83575.0,2022-05-22
3399,523,240000.0,2022-05-22
3400,523,330000.0,2022-05-22
3401,523,240000.0,2022-05-22
3402,523,928973.0,2022-05-22
3403,523,326665.0,2022-05-22
3404,523,400000.0,2022-05-22
3405,523,400000.0,2022-05-22
3406,523,200000.0,2022-05-22
3407,523,168000.0,2022-05-22
3408,523,420000.0,2022-05-22
3409,510,6000.0,2022-05-22
3410,510,40000.0,2022-05-22
3411,512,60000.0,2022-05-22
3412,510,5000.0,2022-05-22
3413,505,48366.0,2022-05-22
3414,505,96000.0,2022-05-22
3415,505,96000.0,2022-05-22
3416,510,10000.0,2022-05-22
3417,523,16786.0,2022-05-22
3418,523,300000.0,2022-05-22
3419,523,240000.0,2022-05-22
3420,508,121369.0,2022-05-22
3421,502,360000.0,2022-05-22
3422,511,36000.0,2022-05-22
3423,512,6000.0,2022-05-22
3424,523,716.0,2022-05-22
3425,507,30365.0,2022-05-22
3426,523,150000.0,2022-05-22
3427,505,60000.0,2022-05-22
3428,511,47523.0,2022-05-22
3429,510,9000.0,2022-05-22
3430,510,18276.0,2022-05-22
3431,523,300000.0,2022-05-22
3432,507,48450.0,2022-05-22
3433,512,1261440.0,2022-05-22
3434,510,30000.0,2022-05-22
3435,505,31536.0,2022-05-22
3436,505,56764.0,2022-05-22
3437,505,31536.0,2022-05-22
3438,505,220752.0,2022-05-22
3439,505,157680.0,2022-05-22
3440,505,189216.0,2022-05-22
3441,510,54000.0,2022-05-22
3442,511,24000.0,2022-05-22
3443,511,15000.0,2022-05-22
3444,511,10000.0,2022-05-22
3445,507,5400.0,2022-05-22
3446,1024,300000.0,2022-05-22
3447,510,6547.5,2022-05-22
3448,510,2000.0,2022-05-22
3449,510,14400.0,2022-05-22
3450,510,6000.0,2022-05-22
3451,524,242172.0,2022-05-22
3452,523,276000.0,2022-05-22
3453,523,240000.0,2022-05-22
3454,523,783000.0,2022-05-22
3455,523,240000.0,2022-05-22
3456,523,40000.0,2022-05-22
3457,523,240000.0,2022-05-22
3458,511,18000.0,2022-05-22
3459,511,120000.0,2022-05-22
3460,504,300000.0,2022-05-22
3461,508,10153.0,2022-05-22
3462,508,40176.0,2022-05-22
3463,501,174000.0,2022-05-22
3464,504,1008000.0,2022-05-22
3465,511,127000.0,2022-05-22
3466,511,24365.0,2022-05-22
3467,504,180000.0,2022-05-22
3468,601,307300.0,2022-05-22
3469,607,7500.0,2022-05-22
3470,601,492.75,2022-05-22
3471,612,39960.0,2022-05-22
3472,610,40022.0,2022-05-22
3473,610,36000.0,2022-05-22
3474,601,130000.0,2022-05-22
3475,605,60000.0,2022-05-22
3476,607,30000.0,2022-05-22
3477,601,5794.2,2022-05-22
3478,612,33960.0,2022-05-22
3479,607,84000.0,2022-05-22
3480,615,8625.6,2022-05-22
3481,601,328.5,2022-05-22
3482,605,1314.0,2022-05-22
3483,601,100000.0,2022-05-22
3484,614,150000.0,2022-05-22
3485,601,3150.0,2022-05-22
3486,614,180000.0,2022-05-22
3487,605,18360.0,2022-05-22
3488,612,35160.0,2022-05-22
3489,612,18365.0,2022-05-22
3490,601,5000.0,2022-05-22
3491,601,492.75,2022-05-22
3492,601,70000.0,2022-05-22
3493,603,600000.0,2022-05-22
3494,601,36000.0,2022-05-22
3495,607,36730.0,2022-05-22
3496,615,30000.0,2022-05-22
3497,615,15000.0,2022-05-22
3498,615,15000.0,2022-05-22
3499,615,10000.0,2022-05-22
3500,615,12000.0,2022-05-22
3501,609,7000.0,2022-05-22
3502,609,7500.0,2022-05-22
3503,609,40000.0,2022-05-22
3504,601,80000.0,2022-05-22
3505,601,125000.0,2022-05-22
3506,601,65000.0,2022-05-22
3507,612,81000.0,2022-05-22
3508,601,8000.0,2022-05-22
3509,601,45000.0,2022-05-22
3510,601,45000.0,2022-05-22
3511,603,228000.0,2022-05-22
3512,608,5000.0,2022-05-22
3513,603,507500.0,2022-05-22
3514,603,9183.0,2022-05-22
3515,601,525.6,2022-05-22
3516,601,130000.0,2022-05-22
3517,601,131.4,2022-05-22
3518,615,10000.0,2022-05-22
3519,601,163.8,2022-05-22
3520,601,7230.0,2022-05-22
3521,601,78000.0,2022-05-22
3522,605,270.0,2022-05-22
3523,605,492.3,2022-05-22
3524,601,328.5,2022-05-22
3525,609,4826.0,2022-05-22
3526,601,20000.0,2022-05-22
3527,601,15000.0,2022-05-22
3528,601,50000.0,2022-05-22
3529,601,90000.0,2022-05-22
3530,601,140000.0,2022-05-22
3531,601,140000.0,2022-05-22
3532,601,730.0,2022-05-22
3533,603,45000.0,2022-05-22
3534,615,120000.0,2022-05-22
3535,607,24000.0,2022-05-22
3536,601,499.5,2022-05-22
3537,601,163.8,2022-05-22
3538,603,432000.0,2022-05-22
3539,603,432000.0,2022-05-22
3540,603,432000.0,2022-05-22
3541,607,800.0,2022-05-22
3542,601,365.0,2022-05-22
3543,601,3273.3,2022-05-22
3544,607,60000.0,2022-05-22
3545,601,414.0,2022-05-22
3546,601,177000.0,2022-05-22
3547,601,2500.0,2022-05-22
3548,601,250.0,2022-05-22
3549,601,250.0,2022-05-22
3550,603,12000.0,2022-05-22
3551,603,12000.0,2022-05-22
3552,615,576420.0,2022-05-22
3553,615,120300.0,2022-05-22
3554,615,318000.0,2022-05-22
3555,615,604800.0,2022-05-22
3556,615,138300.0,2022-05-22
3557,615,138300.0,2022-05-22
3558,603,186000.0,2022-05-22
3559,601,10000.0,2022-05-22
3560,601,5000.0,2022-05-22
3561,601,10000.0,2022-05-22
3562,601,10000.0,2022-05-22
3563,601,240000.0,2022-05-22
3564,603,10000.0,2022-05-22
3565,601,126000.0,2022-05-22
3566,601,12325.0,2022-05-22
3567,612,36720.0,2022-05-22
3568,706,161511.84,2022-05-22
3569,703,30447.36,2022-05-22
3570,704,47304.0,2022-05-22
3571,706,23587.65,2022-05-22
3572,707,4723.2,2022-05-22
3573,707,6000.0,2022-05-22
3574,704,6000.0,2022-05-22
3575,707,9000.0,2022-05-22
3576,707,4500.0,2022-05-22
3577,710,544320.0,2022-05-22
3578,705,74004.48,2022-05-22
3579,710,350000.0,2022-05-22
3580,710,751680.0,2022-05-22
3581,710,751680.0,2022-05-22
3582,710,750000.0,2022-05-22
3583,710,750000.0,2022-05-22
3584,711,583.2,2022-05-22
3585,710,842400.0,2022-05-22
3586,710,842400.0,2022-05-22
3587,710,282528.0,2022-05-22
3588,703,20080.01,2022-05-22
3589,709,581940.0,2022-05-22
3590,709,581940.0,2022-05-22
3591,710,765000.0,2022-05-22
3592,709,300000.0,2022-05-22
3593,709,90000.0,2022-05-22
3594,710,478164.0,2022-05-22
3595,710,489516.0,2022-05-22
3596,709,798850.0,2022-05-22
3597,710,15768.0,2022-05-22
3598,710,506000.0,2022-05-22
3599,710,85000.0,2022-05-22
3600,703,4595.4,2022-05-22
3601,709,446512.5,2022-05-22
3602,707,11700.0,2022-05-22
3603,707,11700.0,2022-05-22
3604,710,137449.24,2022-05-22
3605,710,11000.0,2022-05-22
3606,710,17000.0,2022-05-22
3607,710,6000.0,2022-05-22
3608,703,66000.0,2022-05-22
3609,703,8640.0,2022-05-22
3610,705,5234.22,2022-05-22
3611,703,21900.0,2022-05-22
3612,702,570000.0,2022-05-22
3613,703,10410.12,2022-05-22
3614,705,19710.0,2022-05-22
3615,705,59130.0,2022-05-22
3616,705,49275.0,2022-05-22
3617,705,43362.0,2022-05-22
3618,703,120000.0,2022-05-22
3619,705,43200.0,2022-05-22
3620,703,8409.6,2022-05-22
